datetime,temp,humidity,precip,windspeed,winddir,visibility,solarradiation,cloudcover,Date,Site ID,POC,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE,pm25-1,
4/2/2014,9.9,67.2,0.284,14.5,204.6,15.5,165.2,72,4/2/2014,421010048,3,12.9,53,5.3,
4/2/2014,9.9,67.2,0.284,14.5,204.6,15.5,165.2,72,4/2/2014,421010048,5,14.4,56,12.9,
4/3/2014,13.5,45,1.429,16.9,51.5,15.8,216.5,83.1,4/3/2014,421010048,3,9.9,41,14.4,
4/4/2014,7.9,77.1,0.839,29.7,79.2,12.7,118.6,99.8,4/4/2014,421010048,3,6.7,28,9.9,
4/5/2014,9.2,57.4,0.383,33.5,299.4,13.1,283.3,59.7,4/5/2014,421010048,3,6.2,26,6.7,
4/5/2014,9.2,57.4,0.383,33.5,299.4,13.1,283.3,59.7,4/5/2014,421010048,5,7.3,30,6.2,
4/6/2014,8.4,36.7,0,16,294.4,16,295.7,15.8,4/6/2014,421010048,3,3.8,16,7.3,
4/7/2014,7.5,75.8,8.013,27.1,86.4,12.3,60.2,83.4,4/7/2014,421010048,3,5.5,23,3.8,
4/8/2014,14.8,64.3,4.414,36.3,267.4,12,96.7,76.1,4/8/2014,421010048,3,1.5,6,5.5,
4/8/2014,14.8,64.3,4.414,36.3,267.4,12,96.7,76.1,4/8/2014,421010048,5,4.2,18,1.5,
4/9/2014,12.2,41.4,0,29.7,330.7,16,276.3,28.6,4/9/2014,421010048,3,5.6,23,4.2,
4/10/2014,12.4,39.8,0,29.1,195.8,16,297.2,12.2,4/10/2014,421010048,3,5.8,24,5.6,
4/11/2014,17.8,43.3,0,27.8,238,16,147.9,60.3,4/11/2014,421010048,3,9.1,38,5.8,
4/11/2014,17.8,43.3,0,27.8,238,16,147.9,60.3,4/11/2014,421010048,5,10.2,43,9.1,
4/12/2014,17.1,47.5,0,16.8,227.9,15.7,282.7,45.1,4/12/2014,421010048,3,6.3,26,10.2,
4/13/2014,19,55.4,0,29.9,196.3,15.6,249.1,53.5,4/13/2014,421010048,3,6.6,28,6.3,
4/14/2014,20.9,58.2,0,37.1,197.8,16,247.6,67.2,4/14/2014,421010048,5,6.9,29,6.6,
4/16/2014,4.3,41.3,0.997,30.7,341.4,16,315.7,23.8,4/16/2014,421010048,3,7.5,31,6.9,
4/17/2014,6.3,48.1,0,20.5,79.9,16,308.7,26.4,4/17/2014,421010048,3,7.8,33,7.5,
4/17/2014,6.3,48.1,0,20.5,79.9,16,308.7,26.4,4/17/2014,421010048,5,5.1,21,7.8,
